timeframe,atr_period,atr_mult,bias_tf,zlsma_len,direction,min_atr,n_trades,trades_per_year,sharpe_px,max_dd_px,profit_factor_px,win_rate,expectancy_px,sharpe_acct,max_dd_acct,profit_factor_acct,total_return_acct,cagr_acct,equity_final
H1,5,5.0,none,0,both,0.0,1023,47.56852323360916,-0.07209689869166815,0.6316575015633896,0.971213666672606,0.3782991202346041,-0.000157972654188634,-0.09358438052264628,0.5137865674791677,0.9600187131013089,-0.1626157995092954,-0.008218335476926075,8373.842004907
H1,5,5.0,none,0,both,1.0,999,46.470294192562406,-0.025386759221437672,0.6316575015633898,0.9897035619290863,0.3843843843843844,-5.692459725878793e-05,-0.03897592631263656,0.5147397014167101,0.9829547593270679,-0.09595886731140346,-0.004681642167263855,9040.411326885956
H1,5,5.0,none,0,long,0.0,972,45.23162186265766,0.6261450580254484,0.3889723443073514,1.3035730810579773,0.4228395061728395,0.0015197462759413626,0.6115014917351215,0.28023427913455123,1.3072443576513677,1.3179964572792127,0.03989711442855248,23179.964572792054
H1,5,5.0,none,0,long,1.0,943,43.88211874124092,0.5818294087776124,0.3889723443073516,1.2838132621707317,0.4220572640509014,0.0014344453837463527,0.5889522213370233,0.27111481700156936,1.3020035404715227,1.2525109178802372,0.038511260584024765,22525.10917880241
H1,5,5.0,none,0,short,0.0,973,45.243570973901974,-0.2481561850632105,0.5890249626152051,0.8952251083295046,0.34224049331963,-0.000651395898430103,-0.22664561968874233,0.44680669878512125,0.894142796254758,-0.33310658348448796,-0.018661602774286967,6668.934165155095
H1,5,5.0,none,0,short,1.0,940,43.74808868501529,-0.25331522653558886,0.5890249626152042,0.8918584289287186,0.3393617021276596,-0.0006856166896923848,-0.2260044884040906,0.44614930335580005,0.8932347369926331,-0.3313642188634609,-0.018558916554077154,6686.357811365384
H1,5,5.0,H4,20,both,0.0,699,32.502832590706554,-0.22547639264232816,0.5838416159100878,0.8976832875967837,0.35765379113018597,-0.0005873340516063005,-0.10298815682585892,0.43724090272484006,0.9461418132621647,-0.15485263460780696,-0.0077926763416823475,8451.47365392195
H1,5,5.0,H4,20,both,1.0,675,31.39884742740703,-0.28292023177249903,0.5838416159100882,0.872024105276073,0.3540740740740741,-0.0007488359693235372,-0.1348566090217348,0.436888386822444,0.9288652985097158,-0.1868127447596456,-0.009573273004104266,8131.872552403513
H1,5,5.0,H4,20,long,0.0,559,26.055991577335373,0.39428261369365875,0.3512068484172687,1.2538570763858121,0.39892665474060823,0.0013140631072230758,0.3565575554061277,0.254124969575096,1.2407410773361527,0.4994094410964065,0.01906047534806743,14994.094410964071
H1,5,5.0,H4,20,long,1.0,544,25.35681470137825,0.35322959839223167,0.35120684841727,1.2284040492662829,0.39705882352941174,0.0011906282253163819,0.33562237309795445,0.24884376312562284,1.2298767225016898,0.4591531786714187,0.01776857264180376,14591.53178671417
