timeframe,atr_period,atr_mult,bias_tf,zlsma_len,direction,min_atr,n_trades,trades_per_year,sharpe_px,max_dd_px,profit_factor_px,win_rate,expectancy_px,sharpe_acct,max_dd_acct,profit_factor_acct,total_return_acct,cagr_acct,equity_final
D1,5,4.0,none,0,both,0.0,50,2.513764624913971,-0.3987658451522582,0.500924375755887,0.5308538330832252,0.32,-0.01274136108809591,-0.3476358632154912,0.06652824449269412,0.584789608190047,-0.06827272187684885,-0.003548911376911712,9317.272781231517
D1,5,4.0,none,0,both,1.0,50,2.513764624913971,-0.3987658451522582,0.500924375755887,0.5308538330832252,0.32,-0.01274136108809591,-0.3476358632154912,0.06652824449269412,0.584789608190047,-0.06827272187684885,-0.003548911376911712,9317.272781231517
D1,5,4.0,none,0,long,0.0,49,2.340733716976197,0.36348777665797316,0.2744877348134842,2.6836420599177004,0.5102040816326531,0.03522216205010099,0.3841350179308993,0.031459886749510724,3.778424048957422,0.4280650420607832,0.017167143419458908,14280.650420607848
D1,5,4.0,none,0,long,1.0,49,2.340733716976197,0.36348777665797316,0.2744877348134842,2.6836420599177004,0.5102040816326531,0.03522216205010099,0.3841350179308993,0.031459886749510724,3.778424048957422,0.4280650420607832,0.017167143419458908,14280.650420607848
D1,5,4.0,none,0,short,0.0,49,2.4634893324156915,-0.5309508677465914,0.620116061483956,0.3959468888772215,0.2653061224489796,-0.01742833450343606,-0.33689857047064925,0.09966688875318552,0.5298539458067514,-0.08222948545673281,-0.004304725454164937,9177.705145432674
D1,5,4.0,none,0,short,1.0,49,2.4634893324156915,-0.5309508677465914,0.620116061483956,0.3959468888772215,0.2653061224489796,-0.01742833450343606,-0.33689857047064925,0.09966688875318552,0.5298539458067514,-0.08222948545673281,-0.004304725454164937,9177.705145432674
D1,5,4.0,W1,20,both,0.0,22,1.2494946353599752,0.285328238077597,0.14960602958995284,2.3839020622312392,0.5,0.02775176539342935,0.33789666791418205,0.02091407607314666,3.9424236457213864,0.16464330222601653,0.008694009459619956,11646.433022260167
D1,5,4.0,W1,20,both,1.0,22,1.2494946353599752,0.285328238077597,0.14960602958995284,2.3839020622312392,0.5,0.02775176539342935,0.33789666791418205,0.02091407607314666,3.9424236457213864,0.16464330222601653,0.008694009459619956,11646.433022260167
D1,5,4.0,W1,20,long,0.0,19,1.1346877043819488,0.38242014934189045,0.12934690641661162,3.7172193890265675,0.5789473684210527,0.03992377531637242,0.36574752223206647,0.021903162036105317,5.1873814282703234,0.17153288539268297,0.009499354683031758,11715.328853926834
D1,5,4.0,W1,20,long,1.0,19,1.1346877043819488,0.38242014934189045,0.12934690641661162,3.7172193890265675,0.5789473684210527,0.03992377531637242,0.36574752223206647,0.021903162036105317,5.1873814282703234,0.17153288539268297,0.009499354683031758,11715.328853926834
D1,5,4.0,W1,20,short,0.0,11,1.0,-0.023501092160460986,0.15143858613665617,0.9357162654868536,0.2727272727272727,-0.0019070994616650378,0.10801709414664046,0.0166201907225757,1.4179312507764568,0.014310006433333466,0.000861443596346323,10143.100064333332
