timeframe,atr_period,atr_mult,bias_tf,zlsma_len,direction,min_atr,n_trades,trades_per_year,sharpe_px,max_dd_px,profit_factor_px,win_rate,expectancy_px,sharpe_acct,max_dd_acct,profit_factor_acct,total_return_acct,cagr_acct,equity_final
M15,5,5.0,none,0,both,0.0,4107,190.6318147159741,-0.1785600256014419,0.7223489626596087,0.9627277073327121,0.34234234234234234,-0.00011390651227705986,-0.13840022166751687,0.8504169252073536,0.9682685086792041,-0.5534626265650082,-0.03673076667204289,4465.373734349914
M15,5,5.0,none,0,both,1.0,3452,160.2291269538696,-0.3036826174290174,0.7206201538406709,0.9338410947749209,0.35081112398609504,-0.00021532397556996128,-0.12198336033999305,0.7702297510830558,0.9709633003565309,-0.46972880008115736,-0.029015686885143666,5302.711999188415
M15,5,5.0,none,0,long,0.0,3783,175.59292794510102,0.33544158238349797,0.35120615134628763,1.0767254392416679,0.3621464446206714,0.00021526998460207704,0.3280303904120663,0.49900652211260466,1.0774296608072815,1.018663606044918,0.03314182890777473,20186.63606044884
M15,5,5.0,none,0,long,1.0,2971,137.90287838353032,0.21904103019458962,0.3951089063640597,1.0552181191866559,0.3736115785930663,0.0001648895003546864,0.24541085447592065,0.5891593634765925,1.0646411887113512,0.6563182182689125,0.02369798194901951,16563.182182689114
M15,5,5.0,none,0,short,0.0,3784,175.61702668360863,-0.5254119782785202,0.7956599388027604,0.8839921828257538,0.32082452431289643,-0.00036846949111731886,-0.3686597893264852,0.764001677832198,0.9112668426407972,-0.7480997857571765,-0.061982879033716354,2519.002142428217
M15,5,5.0,none,0,short,1.0,2977,138.28681800839374,-0.47229487339121456,0.7469532395766083,0.8840825295144302,0.3285186429291233,-0.0003953320628557865,-0.3465257134289386,0.7367929708997047,0.9037942724170516,-0.7184609121144544,-0.057177111859759155,2815.3908788554477
M15,5,5.0,H4,20,both,0.0,2190,101.75518381885257,-0.050883406574381666,0.4206415899326019,0.9848761490178402,0.3470319634703196,-4.770956490810528e-05,0.018558565680149307,0.41083365947752715,1.0059898773813993,-0.06600802901255254,-0.0031678487866471094,9339.919709874435
M15,5,5.0,H4,20,both,1.0,1765,82.00817326039945,-0.17019418635052896,0.461037902652947,0.9454332652376194,0.35524079320113316,-0.0001838864499592214,-0.04364828068644785,0.45113373209290275,0.9845376876376813,-0.1792306658175098,-0.009135182067033343,8207.693341824957
M15,5,5.0,H4,20,long,0.0,1330,61.86735863474274,0.047915884133670934,0.3440783724125963,1.017403864192136,0.3706766917293233,5.1070563719124566e-05,0.11406058816508166,0.36514672860143405,1.044483993776541,0.12885512327800086,0.005653944970196667,11288.551232779984
M15,5,5.0,H4,20,long,1.0,1044,48.6006882487892,-0.0509256629546457,0.35224791102651876,0.9797146946933145,0.38122605363984674,-6.373561409204315e-05,0.037916554196698926,0.35153798968257854,1.0160350811601369,0.006723096331605172,0.00031197742019650754,10067.230963316062
M15,5,5.0,H4,20,short,0.0,1189,55.245166009413566,-0.15345277236015398,0.30873564548616217,0.9367515082224136,0.3153910849453322,-0.0002081711178129835,-0.13185182684540403,0.329439043452864,0.9396478085381754,-0.24983678111035656,-0.013267817192046949,7501.632188896469
